smiled to myself because M 326
smoked or chewed tobacco D 738
smashing the bottle against D 276
smells of bitter almonds D 228
smelling of bitter almonds D 170
smells of boiled cabbage D 154
smelting of copper sulfide D 152
smokes or drinks alcohol D 144
smiles in silent mockery D 138
smoked in dubious silence D 122
smiles be called feelers D 104
smelling of boiled cabbage D 86
smoked in solemn silence D 82
smites the bigger animals D 82
