turbulent sensible heat flux D 362
turbidity currents and other D 266
turbidity currents and their D 241
turbidity currents has been D 213
turbulent velocity and length D 146
turbidity currents may have D 122
turbulent diffusion has been D 86
turbidity currents that flow D 86
turbulent diffusion and mixing D 63
turbidity currents and mass D 51
