great and considerable , M 226
grow them successfully , M 214
great things accomplished , M 214
great his achievements , M 132
great deal accomplished , M 132
great aim accomplished , M 130
great and instantaneous , M 124
great deal individually , M 122
great his intelligence , M 104
great and unmistakable , M 104
great for comprehension , M 92
great and satisfactory , M 82
great and accomplished , M 82
