greater detail , particularly M 920
ground forces , particularly M 380
greater number , particularly M 320
greater degree , particularly M 168
greater impact , particularly M 140
greater powers , particularly M 130
greater effect , particularly M 128
greater demand , particularly M 128
greatly needed , particularly M 124
greater weight , particularly M 104
groups abroad , particularly M 102
ground waters , particularly M 100
greater detail , specifically M 80
