scale i have adopted M 92
scoring a great success D 436
score a great success D 428
score a great victory D 372
score a goal against D 228
scoring a goal against D 170
scene i have related D 156
scene i have visited D 142
score a test century D 122
scoring a great victory D 100
score a huge success D 53
score a great triumph D 50
score a clear victory D 45
score a single victory D 40
