weight against body weight M 230
weapons against their fellow D 269
weekly treasury bill tender D 246
weapons systems have become D 218
weekly treasury bill auction D 166
weighing several tons apiece D 148
weapons against their former D 148
welded together more firmly D 136
weapons against those states D 134
weapons systems from abroad D 116
welded together into larger D 100
weapons command rock island D 96
weapons against other nations D 94
wedged between their bodies D 92
