game tomorrow night , M 433
gain personal power , M 260
gain absolute power , M 245
game mentioned above , M 208
gain bargaining power , M 181
gain religious merit , M 174
gave evidence which , M 166
gave straight lines , M 164
gave somewhat aback , M 140
gave manifest signs , M 134
gaps mentioned above , M 128
gave immediate chase , M 106
gave positive tests , M 98
gave definite names , M 80
