gatherers people who obtain M 90
garments green and yellow D 1214
garments vexed and tossed D 620
garrison could not escape D 204
gardener knows that plants D 162
garrison which was absent D 150
galloped after his master D 136
garrison under his orders D 128
garments which are rarely D 128
galaxies rather than masses D 128
garrison stood and fought D 126
garrison could not expect D 122
garments edged with costly D 122
garrison began his career D 116
garments which are copies D 112
garments white and silver D 96
garrison under his charge D 92
garrison could not resist D 92
garrison which that prince D 82
gasoline reacts with oxygen D 80
gasoline rather than diesel D 49
gasoline engine and dynamo D 44
