locked the door " M 318
looked the part " M 274
looked at their " M 212
loudly of their " M 180
looked up from " M 170
looked to their " M 168
looked at from " M 160
looked in vain " M 154
looked at these " M 144
looked the same " M 142
loudly the word " M 140
lowest of these " M 106
longest of these " M 96
looked at life " M 94
looked the word " M 90
looked so good " M 90
looked on these " M 88
locked in their " M 86
looked in their " M 80
looked it over " M 41
