giraffes have long necks D 1210
gigantic iron and steel D 291
gingerbread boys and girls D 255
gigantic size and often D 220
gigantic size was slain D 174
gigantic wrong and shame D 148
gigantic port and fiery D 140
gigantic arms and darts D 140
girlhood into this agony D 102
gigantic task that would D 102
gigantic heads and hands D 102
gigantic size and power D 100
gigantic work was begun D 88
gingerbread made with honey D 43
