gifted in certain areas M 196
girdle of knotted cord D 364
gilded or figured fringe D 317
girder is divided into D 290
girder of uniform depth D 246
girdle of severed arms D 202
gilded or bronzed wood D 160
gibbet to clatter your D 126
girdle of crimson silk D 114
girder is usually made D 94
gingerly the biggest hare D 82
gibbon is highest among D 80
