guilty parties were . M 226
guides decision making . M 220
guards against lust . M 209
guards stepped back . M 162
guided decision making . M 140
guests arrived early . M 128
guarding against fire . M 112
guarding against evil . M 104
guarding against theft . M 94
guarding against pain . M 90
guarding against loss . M 80
guards against evil . M 55
