able men who , M 880
able they are , M 326
able for war , M 310
able man who , M 304
able for him , M 224
able and fit , M 212
able than you , M 192
able than men , M 188
able man and , M 178
able and weak , M 171
able you are , M 162
able than she , M 148
able one day , M 144
able for this , M 144
able for that , M 126
able for them , M 122
able old man , M 118
able man too , M 110
able men and , M 104
able with them , M 98
able than they , M 98
able with death , M 90
