illustrate vividly the function M 110
illustrious champion of freedom D 198
illiterate soldier of fortune D 184
illiterate members of society D 181
illuminating moments of suffering D 166
illuminating exchange of letters D 114
illiterate classes of society D 114
illegality because of certain D 114
illustrious writers of history D 94
illustrious example of exertion D 92
illustrious example of devotion D 88
