witnessing some nearer approach M 124
withdrawn from human creatures M 86
withdrawing from social contacts D 370
withdraws from social contacts D 359
withdrawn from social contacts D 266
withdrawn from party politics D 196
withdrawn from savings accounts D 128
withholding what would otherwise D 107
withdraws beings whose physical D 91
withdraws from social activity D 85
