without passion , intellectual M 224
widely spoken , particularly M 210
widely shared , particularly M 182
without effort , unconsciously M 172
without notice , notwithstanding M 164
without effect , particularly M 128
without notice , particularly M 106
without injury , particularly M 104
winter nights , particularly M 102
