aged was likewise occupied M 180
aged and disabled railroad D 283
aged and disabled soldiers D 263
aged and enormous chestnut D 216
aged men developing coronary D 194
ages and standard deviations D 180
aged hip fracture patients D 166
aged and disabled veterans D 123
ages and physical condition D 116
agar and bouillon cultures D 115
aged and mentally retarded D 50
