aggressive or destructive acts M 130
aggregation of individuals into D 872
agreements or arrangements made D 370
aggregation of individuals having D 354
agreements or arrangements among D 346
agreements or arrangements have D 148
aggregates of individuals have D 138
aggregation of individuals living D 136
agreements or combinations among D 134
aggregation of individuals there D 106
