nun could not have M 108
nut trees and other D 384
nut which has been D 316
nut which had been D 206
nut palms and other D 168
nut mixed with lime D 165
nut trees are very D 154
nut trees cut down D 152
nun would not have D 148
nut trees had been D 142
nut trees with their D 130
nun telling her beads D 116
nun combing her hair D 112
nun would read from D 108
nut trees are also D 98
nut trees and wild D 84
