wretched child at breakfast M 492
wretched piece of business M 238
wretched state of education M 184
wretched vision of judgment M 164
wretched state of disorder M 144
wretched state of confusion M 142
wretched which the condition M 96
wretched state of politics D 404
wretched state of emaciation D 180
wretched state of suspense D 156
wretched piece of ribaldry D 114
wrongdoers would be punished D 94
