wrong only because made M 138
wreak their vengeance upon D 5675
wreak your vengeance upon D 262
wrath will descend upon D 218
wreak their cruelty upon D 164
wrath were emptied upon D 158
wrung from unwilling lips D 128
wrung from fortune when D 108
wreak dire vengeance upon D 90
wreak just vengeance upon D 86
wrong were derived from D 84
