binary number decimal number M 49
billion dollar national income D 153
bitter grudge against parson D 142
billion annual defense budget D 135
billion dollar defense budget D 128
biceps tendon complex lesions D 110
bitter thought flashed through D 104
biceps reflex triceps reflex D 48
bismuth copper mercury silver D 43
