binary numbers into groups M 105
bitter battles were fought D 730
billion increase over fiscal D 295
bitter dispute over whether D 220
billion dollars were raised D 182
billion dollars have already D 178
bitter almonds were strewn D 152
binary neutron star system D 142
bitter thoughts come crowding D 138
billion barrels have already D 124
bitter tyranny from grinding D 120
billion dollars over budget D 88
billion coupons were issued D 88
