com of more under M 262
cod in cold water D 358
cow or five sheep D 264
cod or other white D 202
cod to cape sable D 198
con us into thinking D 186
coy as wild birds D 176
cod at full speed D 160
cow is well known D 144
cow is worth about D 140
cow to look after D 136
con me into thinking D 110
cow or some goats D 102
cot to seek roots D 100
cow or some sheep D 98
coed in north wales D 94
cow is only about D 92
