dyes from coal tar D 673
dyed their hair and D 622
dyeing their hair and D 552
dyes were used for D 546
dyed their hair red D 494
dyed their hair with D 309
dyes came into use D 180
dyed dark blue with D 151
dyeing their hair red D 150
dyeing their hair with D 142
dyes these dyes are D 129
dyed their cloth with D 98
dyed dark blue and D 97
dyes were used and D 88
dyed your hair and D 88
dyes when these are D 80
