dyeing is carried out D 1375
dyed or printed with D 398
dyes in history and D 390
dyed or printed and D 200
dyes in solution and D 158
dyed or stained with D 137
dyne in corners and D 123
dyes in protein and D 116
dyeing of fabrics and D 115
dyed the ribbons and D 108
dyes in general are D 100
dyad of subject and D 98
dyad of patient and D 96
dyad of husband and D 96
dyed or painted with D 85
