amendment protects only those M 308
amendment requires nothing more M 296
amendment freedoms have been M 112
amplitude increases from zero M 104
amendment immunity from suit D 1008
amorphous materials have been D 252
amorphous polymers have been D 184
ambulance services have been D 150
amplifier circuits have been D 130
