amuse them with privileges M 470
amiss with his negligence M 181
amusing him with successive M 116
amity with this government D 846
amity with its neighbours D 182
amity with his neighbours D 140
amity with our neighbours D 114
amity with her neighbours D 108
amend its own legislation D 94
amity with our neighbouring D 90
