awhile on their adventures M 249
awaiting the great examination M 142
awards or other recognition M 116
awards in three categories M 98
awaken the same associations M 88
awaiting the next instruction M 80
awards in their respective D 138
awaken the most brutalized D 116
awaken the dozing conscience D 84
awards of these commissions D 80
