awarded in alternate years M 588
awakening of spiritual life M 482
awaited the appointed hour M 242
awaited the appointed time M 186
awakening to spiritual life M 106
awakening the spiritual life M 84
awakening to political life D 398
awarded the plaintiff only D 174
awakening of political life D 132
awaited an opportune time D 100
