awards entered into by M 410
awards resulting from the M 256
awaiting removal from the M 174
awaiting results from the M 160
awards granted during the M 138
awaiting replies from the M 132
awaiting payment from the M 132
awaiting passage back to M 124
awards granted prior to M 92
awaiting decision from the M 86
awaiting reports from the D 204
awarding counsel fees to D 116
awards counsel fees to D 90
awaken mankind from the D 90
