occur during recovery from M 704
occur some distance from M 604
oceans have extended from M 340
occur some distance away M 316
occur when students have M 286
occur when children have M 284
occur when students work M 140
occur when children fall M 138
occur among children from M 128
occur when children were M 114
occur when children play M 104
occur only slightly more M 102
occur when children learn M 96
occur very suddenly from M 96
occur when subjects were M 90
occur over extended time M 80
occur most commonly during D 1354
occur more commonly among D 1008
occur most commonly when D 890
occur most commonly among D 604
occur more commonly when D 518
occur more commonly during D 512
occur most commonly from D 348
occur most commonly over D 306
occur when patients have D 304
occur most commonly along D 270
occur more promptly there D 246
occur from pressure upon D 214
occur when patients take D 114
occur more commonly from D 104
occur when managers have D 90
