aimless feet had made M 112
airfare from new york D 1201
airport when you leave D 304
airport from new york D 275
airport when they were D 178
airport there had been D 168
airline from new york D 150
airfoil when its lift D 144
airport when she left D 132
airport when she came D 104
airways from new york D 102
airline more than once D 98
airfoil lift and drag D 86
airways have not been D 84
airport when you land D 44
airmail from new york D 41
