uselessly to revive the M 104
usurpation of powers by D 816
usurpation of powers of D 248
usurpation of powers in D 148
usurpation as firmly in D 142
usurpation of rights by D 116
usurpation as should be D 114
usurpation of rights of D 108
usurpation or misuse of D 98
usurpation of office by D 88
usurpation of habits is D 80
