user defined data types M 1730
used exactly those words M 302
user exceeds their warning M 270
used several years later M 255
used against other people M 234
used against wild beasts M 190
used because most people M 174
used against those whose M 174
used exactly these words M 156
used language from which M 140
used depends upon which M 138
used perhaps more often M 128
used depending upon which M 126
used against these people M 126
used depends upon local M 124
used several more times M 119
used against such party M 114
used because many people M 108
used fifteen years later M 107
used because even though M 106
used against other types M 96
user studies have shown M 92
used seventy years later M 88
used against third world M 88
uses several other terms M 87
user program from running M 86
used several other times M 86
used several other names M 82
user program from getting M 80
used several years after M 42
user exceeds their quota D 330
used against many kinds D 232
used against other pests D 194
used against gift taxes D 152
uses language very liable D 130
used because there would D 108
used against these pests D 104
used because these drugs D 90
used condoms more often D 88
used against free trade D 82
