governors he had appointed M 128
governors of his provinces D 772
governors of all provinces D 416
governors of this continent D 340
governess to his daughters D 261
governors of our provinces D 184
governors of its provinces D 182
governors of both provinces D 182
governess to her daughters D 141
governess of his daughters D 140
governors of both political D 126
governors of two provinces D 112
governors in all provinces D 108
governors on this continent D 94
