uprooted within their own M 128
upstairs getting ready for D 679
upstairs sitting room and D 506
upstairs where there was D 456
upraised above care and D 385
upstairs sitting room with D 360
upraised right hand and D 303
uplifted right hand and D 222
uprooted studio door was D 210
upstairs right away and D 181
upstairs sitting room for D 127
uplifted above love and D 116
upstairs sitting room was D 111
upstairs rooms were not D 88
upstairs changing into her D 88
upstairs rooms were all D 80
upstairs where there are D 74
upstairs sitting room that D 56
