affectionately after you and D 242
affectionately under his arm D 210
affirmatively shown that they D 196
affectionately waits for him D 184
aforementioned wrongs and that D 114
affectionately beneath his arm D 112
affectionately putting his arm D 98
affirmatively appear that they D 90
affectionately waiting for him D 84
