yield before its influence M 268
yield tables are available M 180
yield strength and ductility D 670
yield stress and viscosity D 357
yield strength and toughness D 352
yield curves for different D 133
yield stress and ductility D 128
yield proofs that societies D 94
yield curves are typically D 86
yield strength and stiffness D 71
yield strength and viscosity D 59
