try though i might M 574
try writing a short M 458
try writing a story M 443
try putting a small M 328
try putting a piece M 256
try writing a brief M 250
try calling a local M 122
try writing a novel D 458
try telling a story D 306
try placing a small D 240
try placing a piece D 138
try telling a child D 105
try first a weapon D 96
