wanderers kept him company M 104
waterways used for general D 216
warehouse rent and reloading D 183
waterways used for transit D 122
wavelengths used for optical D 115
warehouse rent and charges D 108
waistcoat rent and pierced D 105
wavelengths other than visible D 104
warehouse used for storage D 84
